Division,Sub Division,Feeder,Feeder Code,A/c No,Name,Address,Category,Supply Type,Mobile No,Status,Bill Basis,Total Bill Amount (Rs),Last Paid Date,Last Paid Amount (Rs),Load,Load Unit,Current Assessment (Rs),Bill Date,Current Month Consumption (kWh),Supply Voltage (kV),Connection Type,Meter Status,Meter Exception Reason,Arrear (Rs),Total Outstanding (Rs),LPSC (Rs),Payment Mode
ZARIB CHAUKI,SDO-1,RAWATPUR,51331320030RAW,4681798267,Consumer,Kanpur,LMV-2,10,9300282667,In Service,CEIL,5165.97,2026-03-10,3822.0,4.1,KW,3822.0,2026-03-01,534,0.400kV,POSTPAID,F,Port Dirty/Faulty,1343.97,-907.07,134.4,CASH
SISAMAU,SDO-6,M-18B BANS MANDI,51331110001MBA,4688156352,Consumer,Kanpur,LMV-1,10,9670346556,In Service,CEIL,1110.0,2026-03-10,1054.5,4.8,KW,1110.0,2026-03-01,144,0.230kV,PREPAID,F,Meter not downloadable,0.0,55.5,0.0,IPYG
GENERALGANJ,SDO-3,DY KA PARAV,51331120020DYK,4686712046,Consumer,Kanpur,LMV-1,100,9436049124,In Service,MU,23752.75,2026-03-10,0.0,1.9,KW,364.0,2026-03-01,15,0.230kV,PREPAID,N,,23388.75,23752.75,2338.88,UPI
JAJMAU,SDO-1,PALM COURT,51331320030PAL,4683986189,Consumer,Kanpur,LMV-1,10,9284723123,In Service,MU,1185.0,2026-03-10,1185.0,1.1,KW,1185.0,2026-03-01,128,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
GUMTI,SDO-6,ELGIN,51331110001ELG,4682832487,Consumer,Kanpur,LMV-1,10,9758242370,In Service,PROV,2911.99,2026-03-10,1959.0,2.0,KVA,1959.0,2026-03-01,252,0.230kV,POSTPAID,N,Meter not downloadable,952.99,952.99,95.3,CASH
ARMAPUR,SDO-5,BANS MANDI,51331120020BAN,4684380985,Consumer,Kanpur,LMV-1,100,9697623868,In Service,MU,882.0,2026-03-10,837.9,1.7,KW,882.0,2026-03-01,86,0.230kV,POSTPAID,F,,0.0,-303.27,0.0,CARD
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4684004331,Consumer,Kanpur,LMV-1,10,9908288766,In Service,MU,19365.69,2026-03-10,1994.0,0.8,BHP,1994.0,2026-03-01,272,0.230kV,POSTPAID,F,Meter not downloadable,17371.69,17371.69,1737.17,IPYG
KAKADEO,SDO-6,DADA MIYAN,51331210047DAD,4683379335,Consumer,Kanpur,LMV-1,10,9625616676,Disconnected,MU,10017.62,2026-03-10,1882.0,1.1,KW,1882.0,2026-03-01,255,0.230kV,POSTPAID,N,On height,8135.62,-1520.62,813.56,UPI
GOVIND NAGAR,SDO-3,BHAGAT SINGH,51331110001BHA,4686555492,Consumer,Kanpur,LMV-1,10,9665514345,In Service,MU,1993.0,2026-03-10,1993.0,2.0,KW,1993.0,2026-03-01,264,0.230kV,POSTPAID,F,,0.0,0.0,0.0,IPYG
GOVIND NAGAR,SDO-3,KESA HOUSE,51331220051KES,4689759819,Consumer,Kanpur,LMV-1,H21,9473881061,In Service,PROV,2144.11,2026-03-10,1875.0,3.7,KW,1875.0,2026-03-01,250,0.230kV,POSTPAID,N,Meter not downloadable,269.11,269.11,26.91,CASH
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4683679508,Consumer,Kanpur,LMV-1,10,9522516806,In Service,PROV,3727.0,2026-03-10,3727.0,2.3,KW,3727.0,2026-03-01,519,0.230kV,POSTPAID,N,,0.0,0.0,0.0,UPI
ARMAPUR,SDO-8,BANS MANDI,51331120020BAN,4683913154,Consumer,Kanpur,LMV-1,H21,9548222874,In Service,MU,24856.34,2026-03-10,473.0,1.0,KW,473.0,2026-03-01,27,0.230kV,POSTPAID,N,Port Dirty/Faulty,24383.34,24383.34,2438.33,CARD
VIKAS NAGAR,SDO-1,PARED,51331220048PAR,4688580222,Consumer,Kanpur,LMV-1,10,9105432517,In Service,MU,917.0,2026-03-10,917.0,2.0,KW,917.0,2026-03-01,97,0.230kV,PREPAID,F,,0.0,0.0,0.0,CARD
RAWATPUR,SDO-5,LAKAR MANDI,51331210045LAK,4685609860,Consumer,Kanpur,LMV-1,10,9238877149,In Service,MU,8038.52,2026-03-10,857.85,2.2,KW,903.0,2026-03-01,89,0.230kV,POSTPAID,N,,7135.52,7180.67,713.55,CARD
RAWATPUR,SDO-2,LAKAR MANDI,51331210045LAK,4684147810,Consumer,Kanpur,LMV-1,10,9866938363,In Service,MU,166854.0,2026-03-10,166854.0,1.9,KW,166854.0,2026-03-01,19602,11kV,PREPAID,N,,0.0,0.0,0.0,CASH
GENERALGANJ,SDO-8,BURF KHANA,51331210045BUR,4686837369,Consumer,Kanpur,LMV-1,10,9394021316,In Service,MU,181.0,2026-03-10,90.5,3.4,KW,181.0,2026-03-01,5,0.230kV,PREPAID,N,,0.0,90.5,0.0,CASH
ARMAPUR,SDO-4,MANJUSHREE,51331110001MAN,4681652692,Consumer,Kanpur,LMV-1,10,9215415255,In Service,MU,2041.0,2026-03-10,1632.8,1.6,KW,2041.0,2026-03-01,275,0.230kV,PREPAID,F,Meter not downloadable,0.0,-1436.84,0.0,CARD
HARBANSH MOHAL,SDO-5,LAL KUAN,51331210047LAL,4688613581,Consumer,Kanpur,LMV-1,10,9635407283,In Service,MU,2023.0,2026-03-10,1921.85,2.1,KW,2023.0,2026-03-01,251,0.230kV,PREPAID,N,On height,0.0,101.15,0.0,CASH
KIDWAI NAGAR,SDO-5,CARWALO NAGAR,51331110026CAR,4687941374,Consumer,Kanpur,LMV-1,10,9174680413,Disconnected,MU,3769.0,2026-03-10,3015.2,2.4,KW,3769.0,2026-03-01,506,0.230kV,POSTPAID,N,,0.0,-494.39,0.0,IPYG
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4686059587,Consumer,Kanpur,LMV-1,10,9154071932,In Service,MU,11168.36,2026-03-10,964.0,2.1,KW,964.0,2026-03-01,126,0.230kV,POSTPAID,N,,10204.36,10204.36,1020.44,UPI
SISAMAU,SDO-3,M-18B BANS MANDI,51331110001MBA,4681410056,Consumer,Kanpur,LMV-1,10,9119896298,In Service,CEIL,19304.52,2026-03-10,2984.8,1.8,KW,3731.0,2026-03-01,517,0.230kV,POSTPAID,N,On height,15573.52,16319.72,1557.35,UPI
BARRA,SDO-4,BEEMA CHAURAHA,51333310083BEE,4687553455,Consumer,Kanpur,LMV-1,10,9238951696,In Service,MU,2110.0,2026-03-10,1688.0,2.3,KW,2110.0,2026-03-01,265,0.230kV,POSTPAID,N,,0.0,422.0,0.0,UPI
GUMTI,SDO-8,HARSH NAGAR,51331320050HAR,4686489446,Consumer,Kanpur,LMV-1,10,9473509258,In Service,MU,929.0,2026-03-10,929.0,1.2,KW,929.0,2026-03-01,94,0.230kV,PREPAID,F,,0.0,0.0,0.0,CARD
ARMAPUR,SDO-6,MANJUSHREE,51331110001MAN,4687929216,Consumer,Kanpur,LMV-1,10,9206107732,In Service,MU,3878.0,2026-03-10,3878.0,1.6,KW,3878.0,2026-03-01,517,0.400kV,PREPAID,N,On height,0.0,0.0,0.0,CASH
NAWABGANJ,SDO-8,BEGAM PURWA,51333410058BEG,4682759905,Consumer,Kanpur,LMV-1,10,9191235299,In Service,ASS,1321.0,2026-03-10,1254.95,3.3,KW,1321.0,2026-03-01,147,0.230kV,POSTPAID,F,,0.0,66.05,0.0,CASH
JAJMAU,SDO-5,JK CANCER,51331320030JKC,4681818961,Consumer,Kanpur,LMV-2,10,9109943492,In Service,MU,1211.0,2026-03-10,1211.0,4.1,KW,1211.0,2026-03-01,143,0.400kV,POSTPAID,N,On height,0.0,0.0,0.0,UPI
VIKAS NAGAR,SDO-1,PARED,51331220048PAR,4686154552,Consumer,Kanpur,LMV-1,100,9748274238,In Service,MU,18420.49,2026-03-10,820.0,6.8,KW,820.0,2026-03-01,92,0.400kV,POSTPAID,N,Meter not downloadable,17600.49,17600.49,1760.05,CASH
PANKI,SDO-5,MALL ROAD-101,51331220051MAL,4684684725,Consumer,Kanpur,LMV-1,10,9111439469,In Service,ASS,1479.07,2026-03-10,1073.0,2.8,KW,1073.0,2026-03-01,130,0.230kV,POSTPAID,N,Port Dirty/Faulty,406.07,406.07,40.61,CASH
VIKAS NAGAR,SDO-4,PARED,51331220048PAR,4686948895,Consumer,Kanpur,LMV-2,10,9328346880,In Service,MU,2558.84,2026-03-10,953.0,0.8,KW,953.0,2026-03-01,97,0.230kV,POSTPAID,N,Meter not downloadable,1605.84,1605.84,160.58,CARD
HARBANSH MOHAL,SDO-4,P ROAD,51331510043PRO,4681430066,Consumer,Kanpur,LMV-1,10,9134435953,In Service,CEIL,1157.0,2026-03-10,1157.0,3.2,KW,1157.0,2026-03-01,146,0.230kV,POSTPAID,N,,0.0,-310.8,0.0,IPYG
DADA NAGAR,SDO-5,VISHNU PURI,51331310042VIS,4682616587,Consumer,Kanpur,LMV-2,10,9992403816,In Service,MU,195.0,2026-03-10,195.0,1.0,KW,195.0,2026-03-01,0,0.230kV,PREPAID,N,Meter not downloadable,0.0,-590.81,0.0,UPI
FAZALGANJ,SDO-5,DALEL PURWA,51331120020DAL,4687274227,Consumer,Kanpur,LMV-1,10,9507181648,In Service,MU,4526.6,2026-03-10,597.0,3.3,KW,597.0,2026-03-01,66,0.400kV,POSTPAID,N,,3929.6,3929.6,392.96,IPYG
ZARIB CHAUKI,SDO-5,ROOPAM,51331230046ROO,4688648532,Consumer,Kanpur,LMV-1,10,9153630685,In Service,MU,2793.53,2026-03-10,1172.0,1.9,KW,1172.0,2026-03-01,130,0.230kV,POSTPAID,N,,1621.53,1621.53,162.15,UPI
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4681917411,Consumer,Kanpur,LMV-1,100,9435916416,In Service,MU,836.0,2026-03-10,836.0,2.2,KW,836.0,2026-03-01,84,0.230kV,POSTPAID,N,On height,0.0,-1338.01,0.0,UPI
JAJMAU,SDO-7,PALM COURT,51331320030PAL,4689371016,Consumer,Kanpur,LMV-1,10,9898780057,In Service,ASS,1820.86,2026-03-10,0.0,2.8,KW,558.0,2026-03-01,65,0.230kV,POSTPAID,N,,1262.86,1820.86,126.29,UPI
KIDWAI NAGAR,SDO-5,MAQBARA,51331230046MAQ,4687981049,Consumer,Kanpur,LMV-2,10,9178882361,In Service,MU,2498.22,2026-03-10,774.25,4.0,KW,815.0,2026-03-01,98,0.230kV,POSTPAID,F,On height,1683.22,1723.97,168.32,UPI
VIKAS NAGAR,SDO-4,BHANNA PURWA,51331510043BHA,4685081601,Consumer,Kanpur,LMV-1,10,9475518873,In Service,MU,5996.99,2026-03-10,1914.0,1.1,KW,1914.0,2026-03-01,258,0.230kV,POSTPAID,N,,4082.99,-1844.15,408.3,CARD
HARBANSH MOHAL,SDO-6,P ROAD,51331510043PRO,4683190517,Consumer,Kanpur,LMV-1,10,9198182062,In Service,MU,2344.58,2026-03-10,1214.1,1.9,KW,1278.0,2026-03-01,149,0.230kV,POSTPAID,N,,1066.58,1130.48,106.66,CASH
ARMAPUR,SDO-3,BANS MANDI,51331120020BAN,4682781493,Consumer,Kanpur,LMV-1,10,9282020460,In Service,MU,1994.0,2026-03-10,1894.3,1.2,KW,1994.0,2026-03-01,259,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,99.7,0.0,UPI
ZARIB CHAUKI,SDO-4,ROOPAM,51331230046ROO,4684936369,Consumer,Kanpur,LMV-1,10,9383947786,In Service,PROV,679.0,2026-03-10,679.0,1.1,BHP,679.0,2026-03-01,89,0.230kV,PREPAID,N,,0.0,-36.48,0.0,CASH
PANKI,SDO-1,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4687360364,Consumer,Kanpur,LMV-1,100,9535946108,In Service,ASS,796.0,2026-03-10,796.0,1.9,KW,796.0,2026-03-01,80,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CARD
RAWATPUR,SDO-4,LAKAR MANDI,51331210045LAK,4686378014,Consumer,Kanpur,HV-1,10,9269424229,In Service,CEIL,1938.0,2026-03-10,1841.1,2.1,KW,1938.0,2026-03-01,269,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,96.9,0.0,IPYG
COLONELGANJ,SDO-8,NURSING HOME,51331320050NUR,4682700916,Consumer,Kanpur,LMV-1,100,9207441727,In Service,MU,631.0,2026-03-10,631.0,2.3,KW,631.0,2026-03-01,82,0.230kV,PREPAID,F,,0.0,-1543.0,0.0,UPI
PANKI,SDO-8,TAR GHAR,51331430038TAR,4686734985,Consumer,Kanpur,LMV-2,10,9906505233,In Service,MU,1059.5,2026-03-10,665.0,3.5,KW,665.0,2026-03-01,79,0.230kV,PREPAID,N,Port Dirty/Faulty,394.5,394.5,39.45,IPYG
SISAMAU,SDO-2,PANI KI TANKI BECON GANJ,51331210047NEW,4689532538,Consumer,Kanpur,LMV-1,10,9812861225,In Service,MU,1055.0,2026-03-10,1055.0,1.2,KW,1055.0,2026-03-01,127,0.230kV,PREPAID,N,,0.0,0.0,0.0,IPYG
FAZALGANJ,SDO-8,DALEL PURWA,51331120020DAL,4689208634,Consumer,Kanpur,LMV-1,10,9369251241,In Service,ASS,6819.0,2026-03-10,3409.5,3.6,KVA,6819.0,2026-03-01,939,0.230kV,POSTPAID,N,,0.0,3409.5,0.0,UPI
ZARIB CHAUKI,SDO-4,RAWATPUR,51331320030RAW,4683126023,Consumer,Kanpur,LMV-1,10,9376111006,In Service,MU,280.0,2026-03-10,280.0,2.3,KW,280.0,2026-03-01,30,0.230kV,POSTPAID,N,On height,0.0,-459.97,0.0,CASH
ZARIB CHAUKI,SDO-2,RAWATPUR,51331320030RAW,4687692863,Consumer,Kanpur,HV-1,10,9151169140,In Service,MU,1575.26,2026-03-10,887.2,2.1,KW,1109.0,2026-03-01,146,0.230kV,POSTPAID,N,,466.26,-2128.47,46.63,UPI
JAJMAU,SDO-3,JK CANCER,51331320030JKC,4684684385,Consumer,Kanpur,LMV-1,100,9201741122,In Service,ASS,861.0,2026-03-10,861.0,2.8,KW,861.0,2026-03-01,94,0.230kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
FAZALGANJ,SDO-1,IFTKHARABAD,51331120020IFT,4681283190,Consumer,Kanpur,LMV-1,10,9717983346,In Service,CEIL,11631.13,2026-03-10,1119.0,4.0,KW,1119.0,2026-03-01,145,0.230kV,POSTPAID,N,,10512.13,-436.27,1051.21,CARD
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4684684571,Consumer,Kanpur,LMV-2,10,9420425107,In Service,MU,689.0,2026-03-10,654.55,2.4,KVA,689.0,2026-03-01,84,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,34.45,0.0,IPYG
GUMTI,SDO-2,ELGIN,51331110001ELG,4682578458,Consumer,Kanpur,LMV-1,10,9738499308,In Service,CEIL,6592.0,2026-03-10,3296.0,2.4,KW,6592.0,2026-03-01,914,0.230kV,PREPAID,N,,0.0,3296.0,0.0,IPYG
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4684098445,Consumer,Kanpur,LMV-1,10,9400142075,In Service,CEIL,1938.0,2026-03-10,1938.0,3.0,KW,1938.0,2026-03-01,259,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
DADA NAGAR,SDO-2,VISHNU PURI,51331310042VIS,4687828069,Consumer,Kanpur,LMV-1,10,9731749746,In Service,MU,637.0,2026-03-10,509.6,2.1,KW,637.0,2026-03-01,75,0.230kV,POSTPAID,N,On height,0.0,-163.57,0.0,UPI
RAWATPUR,SDO-6,LAKAR MANDI,51331210045LAK,4689300216,Consumer,Kanpur,LMV-1,10,9644976040,In Service,MU,943.46,2026-03-10,723.0,12.3,BHP,723.0,2026-03-01,75,0.230kV,POSTPAID,N,Port Dirty/Faulty,220.46,220.46,22.05,UPI
DADA NAGAR,SDO-4,KHALASI LINE,51331320049KHA,4684526936,Consumer,Kanpur,LMV-1,10,9731413327,In Service,MU,1531.56,2026-03-10,1026.95,2.7,KW,1081.0,2026-03-01,142,0.230kV,PREPAID,F,On height,450.56,504.61,45.06,UPI
FAZALGANJ,SDO-7,IFTKHARABAD,51331120020IFT,4682962245,Consumer,Kanpur,LMV-1,101,9325244361,In Service,ASS,1879.0,2026-03-10,1879.0,2.3,KW,1879.0,2026-03-01,256,0.230kV,POSTPAID,N,On height,0.0,0.0,0.0,CARD
SISAMAU,SDO-2,M-18B BANS MANDI,51331110001MBA,4685209384,Consumer,Kanpur,LMV-1,10,9465478240,In Service,MU,4046.03,2026-03-10,1155.2,2.3,KW,1216.0,2026-03-01,138,0.230kV,POSTPAID,N,On height,2830.03,-338.85,283.0,CASH
KAKADEO,SDO-5,HALLET HOSPITAL,51331320030HAL,4682583377,Consumer,Kanpur,LMV-1,10,9754104835,In Service,MU,996.0,2026-03-10,796.8,1.7,KW,996.0,2026-03-01,127,0.230kV,POSTPAID,F,,0.0,-91.89,0.0,CARD
FAZALGANJ,SDO-4,DALEL PURWA,51331120020DAL,4686283078,Consumer,Kanpur,LMV-1,10,9131656268,In Service,MU,4877.9,2026-03-10,3599.55,0.9,KW,3789.0,2026-03-01,523,0.400kV,POSTPAID,N,,1088.9,1278.35,108.89,CARD
COLONELGANJ,SDO-1,NURSING HOME,51331320050NUR,4684969623,Consumer,Kanpur,LMV-1,10,9681179675,Disconnected,MU,1565.28,2026-03-10,800.0,4.5,KW,800.0,2026-03-01,91,0.230kV,POSTPAID,N,,765.28,-168.29,76.53,CARD
GOVIND NAGAR,SDO-4,BHAGAT SINGH,51331110001BHA,4681839782,Consumer,Kanpur,LMV-1,10,9173165533,In Service,MU,3843.0,2026-03-10,3074.4,0.8,KW,3843.0,2026-03-01,525,0.400kV,POSTPAID,F,Port Dirty/Faulty,0.0,768.6,0.0,CARD
PANKI,SDO-6,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4689446800,Consumer,Kanpur,LMV-1,10,9769687360,In Service,MU,1303.0,2026-03-10,1303.0,2.2,KW,1303.0,2026-03-01,147,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
JAJMAU,SDO-8,PALM COURT,51331320030PAL,4684067983,Consumer,Kanpur,LMV-1,10,9303168454,In Service,MU,1605.51,2026-03-10,1161.0,2.0,KW,1161.0,2026-03-01,130,0.230kV,PREPAID,N,On height,444.51,444.51,44.45,IPYG
ARMAPUR,SDO-8,SISAMAU,51331210045SIS,4685615714,Consumer,Kanpur,LMV-1,10,9270404420,Disconnected,MU,1165.0,2026-03-10,932.0,7.8,KW,1165.0,2026-03-01,144,0.230kV,POSTPAID,N,,0.0,233.0,0.0,IPYG
DADA NAGAR,SDO-6,KHALASI LINE,51331320049KHA,4684169305,Consumer,Kanpur,LMV-1,10,9246963632,In Service,CEIL,1271.55,2026-03-10,1250.0,1.9,KW,1250.0,2026-03-01,136,0.230kV,POSTPAID,N,Port Dirty/Faulty,21.55,21.55,2.16,UPI
KAKADEO,SDO-3,HALLET HOSPITAL,51331320030HAL,4683074080,Consumer,Kanpur,LMV-1,10,9707166494,In Service,CEIL,6461.05,2026-03-10,947.0,2.1,KW,947.0,2026-03-01,124,0.230kV,POSTPAID,N,Meter not downloadable,5514.05,5514.05,551.41,CASH
VIKAS NAGAR,SDO-7,PARED,51331220048PAR,4683791576,Consumer,Kanpur,LMV-2,10,9650274826,In Service,PROV,24957.99,2026-03-10,280.0,3.8,KW,280.0,2026-03-01,4,0.400kV,POSTPAID,N,Meter not downloadable,24677.99,-65.78,2467.8,UPI
COLONELGANJ,SDO-3,NURSING HOME,51331320050NUR,4685513108,Consumer,Kanpur,LMV-1,10,9441795643,In Service,CEIL,1179.0,2026-03-10,943.2,2.3,KW,1179.0,2026-03-01,158,0.230kV,PREPAID,N,On height,0.0,235.8,0.0,IPYG
COLONELGANJ,SDO-8,NURSING HOME,51331320050NUR,4689854492,Consumer,Kanpur,LMV-1,10,9113654154,In Service,PROV,1963.38,2026-03-10,645.0,4.2,KVA,645.0,2026-03-01,85,0.400kV,POSTPAID,F,,1318.38,1318.38,131.84,CARD
GOVIND NAGAR,SDO-1,BHAGAT SINGH,51331110001BHA,4687325703,Consumer,Kanpur,LMV-2,10,9755924481,Disconnected,MU,1081.0,2026-03-10,1081.0,3.4,KW,1081.0,2026-03-01,131,0.230kV,POSTPAID,F,,0.0,-2052.99,0.0,CARD
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4683045190,Consumer,Kanpur,LMV-1,10,9852272338,In Service,MU,762.0,2026-03-10,762.0,6.3,KW,762.0,2026-03-01,91,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
VIKAS NAGAR,SDO-8,PARED,51331220048PAR,4682351792,Consumer,Kanpur,LMV-1,101,9193918720,In Service,PROV,1912.0,2026-03-10,1529.6,2.2,KW,1912.0,2026-03-01,259,0.230kV,POSTPAID,N,,0.0,382.4,0.0,CASH
RAWATPUR,SDO-2,MOTI JHEEL,51331320030MOT,4681600893,Consumer,Kanpur,LMV-1,10,9624505540,In Service,CEIL,24395.94,2026-03-10,954.4,1.7,KW,1193.0,2026-03-01,128,0.230kV,POSTPAID,F,,23202.94,23441.54,2320.29,CASH
NAWABGANJ,SDO-8,SUTER GANJ,51331230046SUT,4682213642,Consumer,Kanpur,LMV-1,10,9457950129,In Service,ASS,1961.0,2026-03-10,1961.0,2.1,KW,1961.0,2026-03-01,260,0.230kV,POSTPAID,F,On height,0.0,-569.17,0.0,CARD
FAZALGANJ,SDO-6,DALEL PURWA,51331120020DAL,4688542036,Consumer,Kanpur,LMV-1,10,9605642723,In Service,CEIL,2102.0,2026-03-10,2102.0,2.1,KW,2102.0,2026-03-01,268,0.230kV,POSTPAID,F,Port Dirty/Faulty,0.0,-902.32,0.0,IPYG
KIDWAI NAGAR,SDO-7,CARWALO NAGAR,51331110026CAR,4688553613,Consumer,Kanpur,LMV-1,100,9401905167,In Service,MU,2019.0,2026-03-10,2019.0,1.9,KW,2019.0,2026-03-01,265,0.230kV,POSTPAID,N,Meter not downloadable,0.0,-1136.16,0.0,CASH
GUMTI,SDO-3,ELGIN,51331110001ELG,4688016175,Consumer,Kanpur,HV-1,10,9503303686,In Service,MU,531.0,2026-03-10,424.8,1.9,KW,531.0,2026-03-01,65,0.230kV,PREPAID,N,Meter not downloadable,0.0,106.2,0.0,UPI
BARRA,SDO-4,GREEN PARK,51331310039GRE,4682291899,Consumer,Kanpur,LMV-1,10,9198038941,In Service,MU,927.0,2026-03-10,927.0,1.8,KW,927.0,2026-03-01,124,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
GENERALGANJ,SDO-2,IDGAH,51331320049IDG,4686867435,Consumer,Kanpur,LMV-2,10,9596554899,In Service,PROV,250.0,2026-03-10,250.0,3.6,KW,250.0,2026-03-01,7,0.230kV,POSTPAID,N,,0.0,-679.63,0.0,CASH
FAZALGANJ,SDO-1,DKP-68,51331120033DKP,4686439809,Consumer,Kanpur,LMV-1,101,9534277895,In Service,MU,2431.15,2026-03-10,1857.25,2.2,KW,1955.0,2026-03-01,267,0.230kV,POSTPAID,N,On height,476.15,573.9,47.62,UPI
GENERALGANJ,SDO-2,DY KA PARAV,51331120020DYK,4685563011,Consumer,Kanpur,LMV-1,10,9554930125,In Service,MU,3792.0,2026-03-10,3602.4,6.9,KW,3792.0,2026-03-01,520,0.230kV,POSTPAID,F,Meter not downloadable,0.0,189.6,0.0,IPYG
ARMAPUR,SDO-3,SISAMAU,51331210045SIS,4684901777,Consumer,Kanpur,LMV-1,10,9646179790,In Service,CEIL,8064.67,2026-03-10,2079.0,4.4,KVA,2079.0,2026-03-01,268,0.230kV,POSTPAID,F,Port Dirty/Faulty,5985.67,-2036.45,598.57,IPYG
RAWATPUR,SDO-6,MOTI JHEEL,51331320030MOT,4687636875,Consumer,Kanpur,LMV-1,101,9480807984,In Service,MU,21167.83,2026-03-10,1920.9,1.7,KW,2022.0,2026-03-01,281,0.230kV,POSTPAID,N,Meter not downloadable,19145.83,19246.93,1914.58,UPI
VIKAS NAGAR,SDO-6,PARED,51331220048PAR,4684867457,Consumer,Kanpur,LMV-1,10,9919176380,Disconnected,CEIL,4664.77,2026-03-10,3751.0,2.2,KW,3751.0,2026-03-01,501,0.230kV,POSTPAID,N,,913.77,913.77,91.38,UPI
PANKI,SDO-6,TAR GHAR,51331430038TAR,4685172529,Consumer,Kanpur,LMV-1,10,9926404060,In Service,CEIL,2254.0,2026-03-10,2254.0,3.6,KW,2254.0,2026-03-01,285,0.400kV,POSTPAID,F,On height,0.0,0.0,0.0,UPI
ZARIB CHAUKI,SDO-2,NAI SADAK,51331220048NAI,4686225175,Consumer,Kanpur,LMV-1,10,9309403753,In Service,PROV,1027.08,2026-03-10,986.0,1.0,KW,986.0,2026-03-01,131,0.230kV,PREPAID,N,,41.08,-226.86,4.11,CASH
GENERALGANJ,SDO-8,BURF KHANA,51331210045BUR,4687848803,Consumer,Kanpur,LMV-2,100,9627029827,In Service,PROV,904.0,2026-03-10,904.0,0.9,KW,904.0,2026-03-01,89,0.230kV,POSTPAID,N,On height,0.0,-676.12,0.0,CASH
HARBANSH MOHAL,SDO-5,LAL KUAN,51331210047LAL,4682662110,Consumer,Kanpur,LMV-2,10,9890784128,In Service,MU,2329.08,2026-03-10,1001.0,1.9,KW,2002.0,2026-03-01,252,0.400kV,PREPAID,N,On height,327.08,1328.08,32.71,IPYG
GUMTI,SDO-3,ELGIN,51331110001ELG,4686687262,Consumer,Kanpur,LMV-1,10,9546773525,In Service,MU,1064.0,2026-03-10,1064.0,1.9,BHP,1064.0,2026-03-01,143,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
GUMTI,SDO-8,ELGIN,51331110001ELG,4687592498,Consumer,Kanpur,LMV-1,10,9569192765,In Service,MU,2105.01,2026-03-10,2035.0,1.6,KW,2035.0,2026-03-01,270,0.230kV,POSTPAID,N,Port Dirty/Faulty,70.01,-737.18,7.0,CARD
ZARIB CHAUKI,SDO-7,ROOPAM,51331230046ROO,4689191017,Consumer,Kanpur,LMV-1,10,9314281263,In Service,MU,522.0,2026-03-10,495.9,2.2,KW,522.0,2026-03-01,61,0.230kV,PREPAID,F,Port Dirty/Faulty,0.0,26.1,0.0,CARD
FAZALGANJ,SDO-7,IFTKHARABAD,51331120020IFT,4687936808,Consumer,Kanpur,LMV-1,10,9878471113,In Service,MU,886.0,2026-03-10,886.0,2.4,KW,886.0,2026-03-01,85,0.230kV,POSTPAID,N,Meter not downloadable,0.0,-249.55,0.0,CARD
DADA NAGAR,SDO-2,KHALASI LINE,51331320049KHA,4685766430,Consumer,Kanpur,LMV-1,101,9955577778,In Service,MU,1718.71,2026-03-10,814.0,1.9,KW,814.0,2026-03-01,95,0.400kV,POSTPAID,F,On height,904.71,904.71,90.47,CARD
NAWABGANJ,SDO-2,SUTER GANJ,51331230046SUT,4686163591,Consumer,Kanpur,LMV-2,100,9370102719,In Service,MU,570.0,2026-03-10,570.0,16.9,KW,570.0,2026-03-01,61,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
DADA NAGAR,SDO-5,KHALASI LINE,51331320049KHA,4681231447,Consumer,Kanpur,LMV-1,10,9919008264,In Service,MU,1465.18,2026-03-10,1110.0,2.1,KW,1110.0,2026-03-01,125,0.230kV,POSTPAID,N,,355.18,355.18,35.52,UPI
PANKI,SDO-2,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4688466569,Consumer,Kanpur,LMV-1,10,9856144480,In Service,MU,2542.67,2026-03-10,2125.0,2.2,KW,2125.0,2026-03-01,287,0.230kV,PREPAID,N,Meter not downloadable,417.67,417.67,41.77,UPI
